,id,title,context,question,answers_x,prediction_text,answers_y,correct
9000,5729727baf94a219006aa43b,Prime_number,"Many questions regarding prime numbers remain open, such as Goldbach's conjecture (that every even integer greater than 2 can be expressed as the sum of two primes), and the twin prime conjecture (that there are infinitely many pairs of primes whose difference is 2). Such questions spurred the development of various branches of number theory, focusing on analytic or algebraic aspects of numbers. Primes are used in several routines in information technology, such as public-key cryptography, which makes use of properties such as the difficulty of factoring large numbers into their prime factors. Prime numbers give rise to various generalizations in other mathematical domains, mainly algebra, such as prime elements and prime ideals.",What is the name of one algebraic generalization prime numbers have inspired?,"{'text': array(['prime ideals', 'prime elements', 'prime elements',
       'prime elements'], dtype=object), 'answer_start': array([726, 707, 707, 707], dtype=int32)}",algebra,"{'text': ['prime ideals', 'prime elements', 'prime elements', 'prime elements'], 'answer_start': [726, 707, 707, 707]}",False
4005,5725e28f38643c19005ace27,Apollo_program,"Apollo 8 was planned to be the D mission in December 1968, crewed by McDivitt, Scott and Schweickart, launched on a Saturn V instead of two Saturn IBs. In the summer it had become clear that the LM would not be ready in time. Rather than waste the Saturn V on another simple Earth-orbiting mission, ASPO Manager George Low suggested the bold step of sending Apollo 8 to orbit the Moon instead, deferring the D mission to the next mission in March 1969, and eliminating the E mission. This would keep the program on track. The Soviet Union had sent animals around the Moon on September 15, 1968, aboard Zond 5, and it was believed they might soon repeat the feat with human cosmonauts. The decision was not announced publicly until successful completion of Apollo 7. Gemini veterans Frank Borman and James Lovell, and rookie William Anders captured the world's attention by making 10 lunar orbits in 20 hours, transmitting television pictures of the lunar surface on Christmas Eve, and returning safely to Earth.",What did the Soviets intend to use in spacecraft after the success of Zond 5?,"{'text': array(['human cosmonauts', 'human cosmonauts', 'human cosmonauts',
       'human cosmonauts'], dtype=object), 'answer_start': array([667, 667, 667, 667], dtype=int32)}",animals,"{'text': ['human cosmonauts', 'human cosmonauts', 'human cosmonauts', 'human cosmonauts'], 'answer_start': [667, 667, 667, 667]}",False
4876,5726414e271a42140099d7e7,Packet_switching,"Merit Network, Inc., an independent non-profit 501(c)(3) corporation governed by Michigan's public universities, was formed in 1966 as the Michigan Educational Research Information Triad to explore computer networking between three of Michigan's public universities as a means to help the state's educational and economic development. With initial support from the State of Michigan and the National Science Foundation (NSF), the packet-switched network was first demonstrated in December 1971 when an interactive host to host connection was made between the IBM mainframe computer systems at the University of Michigan in Ann Arbor and Wayne State University in Detroit. In October 1972 connections to the CDC mainframe at Michigan State University in East Lansing completed the triad. Over the next several years in addition to host to host interactive connections the network was enhanced to support terminal to host connections, host to host batch connections (remote job submission, remote printing, batch file transfer), interactive file transfer, gateways to the Tymnet and Telenet public data networks, X.25 host attachments, gateways to X.25 data networks, Ethernet attached hosts, and eventually TCP/IP and additional public universities in Michigan join the network. All of this set the stage for Merit's role in the NSFNET project starting in the mid-1980s.",What set the stage for Merits role in NSFNET,"{'text': array(['Ethernet attached hosts, and eventually TCP/IP and additional public universities in Michigan join the network',
       'the network was enhanced', 'TCP/IP'], dtype=object), 'answer_start': array([1166,  867, 1206], dtype=int32)}",All of this set the stage for Merit's role in the NSFNET project starting in the mid-1980s,"{'text': ['Ethernet attached hosts, and eventually TCP/IP and additional public universities in Michigan join the network', 'the network was enhanced', 'TCP/IP'], 'answer_start': [1166, 867, 1206]}",False
8876,57297103af94a219006aa426,Chloroplast,"In addition to chlorophylls, another group of yellow–orange pigments called carotenoids are also found in the photosystems. There are about thirty photosynthetic carotenoids. They help transfer and dissipate excess energy, and their bright colors sometimes override the chlorophyll green, like during the fall, when the leaves of some land plants change color. β-carotene is a bright red-orange carotenoid found in nearly all chloroplasts, like chlorophyll a. Xanthophylls, especially the orange-red zeaxanthin, are also common. Many other forms of carotenoids exist that are only found in certain groups of chloroplasts.",What is beta carotene?,"{'text': array(['a bright red-orange carotenoid', 'a bright red-orange carotenoid',
       'bright red-orange carotenoid found in nearly all chloroplasts'],
      dtype=object), 'answer_start': array([375, 375, 377], dtype=int32)}",β-carotene is a bright red-orange carotenoid found in nearly all chloroplasts,"{'text': ['a bright red-orange carotenoid', 'a bright red-orange carotenoid', 'bright red-orange carotenoid found in nearly all chloroplasts'], 'answer_start': [375, 375, 377]}",False
1642,56e12110e3433e1400422c4a,Nikola_Tesla,"Tesla was generally antagonistic towards theories about the conversion of matter into energy.:247 He was also critical of Einstein's theory of relativity, saying:",Whose theory did Tesla disagree with?,"{'text': array([""Einstein's"", ""Einstein's"", ""Einstein's""], dtype=object), 'answer_start': array([122, 122, 122], dtype=int32)}",Einstein,"{'text': [""Einstein's"", ""Einstein's"", ""Einstein's""], 'answer_start': [122, 122, 122]}",False
2496,56f895339e9bad19000a0179,Martin_Luther,"Some scholars have asserted that Luther taught that faith and reason were antithetical in the sense that questions of faith could not be illuminated by reason. He wrote, ""All the articles of our Christian faith, which God has revealed to us in His Word, are in presence of reason sheerly impossible, absurd, and false."" and ""[That] Reason in no way contributes to faith. [...] For reason is the greatest enemy that faith has; it never comes to the aid of spiritual things."" However, though seemingly contradictorily, he also wrote in the latter work that human reason ""strives not against faith, when enlightened, but rather furthers and advances it"", bringing claims he was a fideist into dispute. Contemporary Lutheran scholarship, however, has found a different reality in Luther. Luther rather seeks to separate faith and reason in order to honor the separate spheres of knowledge that each applies to. Bernhard Lohse, for example, has demonstrated in his classic work ""Fides und Ratio"" that Luther ultimately sought to put the two together. More recently, Hans-Peter Grosshans has demonstrated that Luther's work on Biblical Criticism stresses the need for external coherence in the right exegetical method. This means that for Luther it is more important that the Bible is reasonable according to the reality outside of the scriptures than that the Bible makes sense to itself, that it has internal coherence. The right tool for understanding the world outside of the Bible for Luther is none other than reason, which for him is the field of science, philosophy, history and empirical observation. Here a different picture is presented of a Luther who deeply valued both faith and reason, and held them in dialectical partnership. Luther's concern thus in separating them is honoring their different epistemological spheres.",How did Luther say that reason contributes to faith?,"{'text': array(['no way contributes', 'in no way', 'in no way'], dtype=object), 'answer_start': array([342, 339, 339], dtype=int32)}",dialectical partnership,"{'text': ['no way contributes', 'in no way', 'in no way'], 'answer_start': [342, 339, 339]}",False
4856,57263c78ec44d21400f3dc7d,Packet_switching,"ARPANET and SITA HLN became operational in 1969. Before the introduction of X.25 in 1973, about twenty different network technologies had been developed. Two fundamental differences involved the division of functions and tasks between the hosts at the edge of the network and the network core. In the datagram system, the hosts have the responsibility to ensure orderly delivery of packets. The User Datagram Protocol (UDP) is an example of a datagram protocol. In the virtual call system, the network guarantees sequenced delivery of data to the host. This results in a simpler host interface with less functionality than in the datagram model. The X.25 protocol suite uses this network type.",WHat does UserDatagram Protocol gaurentee,"{'text': array(['In the virtual call system, the network guarantees sequenced delivery of data to the host',
       'sequenced delivery of data to the host',
       'sequenced delivery of data'], dtype=object), 'answer_start': array([462, 513, 513], dtype=int32)}",The User Datagram Protocol (UDP) is an example of a datagram protocol,"{'text': ['In the virtual call system, the network guarantees sequenced delivery of data to the host', 'sequenced delivery of data to the host', 'sequenced delivery of data'], 'answer_start': [462, 513, 513]}",False
3580,571c91c8dd7acb1400e4c10c,Oxygen,"The common allotrope of elemental oxygen on Earth is called dioxygen, O
2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O
2 are covered in the remainder of this article.",What part the composition of the Earth's atmosphere is comprised of oxygen?,"{'text': array(['major', 'major', 'major', 'a major part', 'major'], dtype=object), 'answer_start': array([100, 100, 100,  98, 100], dtype=int32)}","dioxygen, O
2. It is the form that is a major part","{'text': ['major', 'major', 'major', 'a major part', 'major'], 'answer_start': [100, 100, 100, 98, 100]}",False
10061,5730b07c8ab72b1400f9c697,United_Methodist_Church,"Wesleyan theology stands at a unique cross-roads between evangelical and sacramental, between liturgical and charismatic, and between Anglo-Catholic and Reformed theology and practice. It has been characterized as Arminian theology with an emphasis on the work of the Holy Spirit to bring holiness into the life of the participating believer. The United Methodist Church believes in prima scriptura, seeing the Holy Bible as the primary authority in the Church and using sacred tradition, reason, and experience to interpret it, with the aid of the Holy Spirit (see Wesleyan Quadrilateral). Therefore, according to The Book of Discipline, United Methodist theology is at once ""catholic, evangelical, and reformed."" Today, the UMC is generally considered one of the more moderate and tolerant denominations with respect to race, gender, and ideology, though the denomination itself actually includes a very wide spectrum of attitudes. Comparatively, the UMC stands to the right of liberal and progressive Protestant groups such as the United Church of Christ and the Episcopal Church on certain issues (especially regarding sexuality), but to the left of historically conservative evangelical traditions such as the Southern Baptists and Pentecostalism, in regard to theological matters such as social justice and Biblical interpretation. However, it should be noted that the UMC is made up of a broad diversity of thought, and so there are many clergy and laity within the UMC that hold differing viewpoints on such theological matters.",What is seeing the Holy Bible as the primary authority in the Church?,"{'text': array(['prima scriptura', 'Wesleyan theology s', 'prima scriptura'],
      dtype=object), 'answer_start': array([383,   0, 383], dtype=int32)}",The United Methodist Church believes in prima scriptura,"{'text': ['prima scriptura', 'Wesleyan theology s', 'prima scriptura'], 'answer_start': [383, 0, 383]}",False
579,56bf6f743aeaaa14008c9632,Super_Bowl_50,"As opposed to broadcasts of primetime series, CBS broadcast special episodes of its late night talk shows as its lead-out programs for Super Bowl 50, beginning with a special episode of The Late Show with Stephen Colbert following the game. Following a break for late local programming, CBS also aired a special episode of The Late Late Show with James Corden.","What other CBS talk show played, after the main one that began immediately after Super Bowl 50?","{'text': array(['The Late Late Show with James Corden',
       'The Late Late Show with James Corden',
       'Late Late Show with James Corden'], dtype=object), 'answer_start': array([323, 323, 327], dtype=int32)}",The Late Show,"{'text': ['The Late Late Show with James Corden', 'The Late Late Show with James Corden', 'Late Late Show with James Corden'], 'answer_start': [323, 323, 327]}",False
